index,P,Q,VaR,VaI,VbR,VbI,VcR,VcI
0,45492.7,88.06,213.13,-2.39,-108.73,-190.03,-109.38,185.81
1,45496.5,83.88,213.13,-2.39,-108.74,-190.03,-109.38,185.81
2,45500.25,79.92,213.13,-2.39,-108.74,-190.03,-109.38,185.81
3,45504.07,76.15,213.13,-2.39,-108.74,-190.03,-109.38,185.81
4,45507.95,72.55,213.13,-2.39,-108.74,-190.03,-109.38,185.81
5,45511.91,69.12,213.13,-2.39,-108.74,-190.03,-109.38,185.81
6,45515.93,65.88,213.13,-2.39,-108.74,-190.03,-109.38,185.81
7,45520.0,62.73,213.13,-2.39,-108.74,-190.03,-109.38,185.81
8,45524.13,59.75,213.13,-2.39,-108.74,-190.03,-109.38,185.81
9,45528.31,56.92,213.13,-2.4,-108.74,-190.03,-109.38,185.81
10,45532.53,54.22,213.13,-2.4,-108.74,-190.03,-109.38,185.81
11,45536.8,51.64,213.13,-2.4,-108.74,-190.03,-109.38,185.81
12,45541.11,49.18,213.13,-2.4,-108.74,-190.03,-109.38,185.81
13,45545.45,46.84,213.13,-2.4,-108.74,-190.03,-109.38,185.81
14,45549.82,44.61,213.13,-2.4,-108.74,-190.03,-109.38,185.81
15,45554.22,42.48,213.13,-2.4,-108.74,-190.03,-109.38,185.81
16,45558.64,40.45,213.13,-2.4,-108.74,-190.03,-109.38,185.81
17,45563.09,38.51,213.13,-2.4,-108.74,-190.03,-109.38,185.81
18,45567.55,36.67,213.13,-2.4,-108.74,-190.03,-109.38,185.81
19,45572.03,34.91,213.13,-2.4,-108.74,-190.03,-109.38,185.81
20,45576.52,33.23,213.13,-2.4,-108.74,-190.03,-109.38,185.81
21,45581.01,31.64,213.13,-2.4,-108.74,-190.03,-109.38,185.81
22,45585.51,30.11,213.13,-2.4,-108.74,-190.03,-109.38,185.81
23,45590.01,28.66,213.13,-2.4,-108.74,-190.03,-109.38,185.81
24,45594.51,27.28,213.13,-2.4,-108.74,-190.03,-109.38,185.81
25,45599.01,25.96,213.13,-2.4,-108.74,-190.03,-109.38,185.81
26,45603.49,24.7,213.13,-2.4,-108.74,-190.03,-109.38,185.81
27,45607.96,23.5,213.13,-2.4,-108.74,-190.03,-109.38,185.81
28,45612.42,22.36,213.13,-2.4,-108.74,-190.03,-109.38,185.81
29,45616.86,21.27,213.13,-2.4,-108.74,-190.03,-109.38,185.81
30,45621.28,20.23,213.13,-2.4,-108.74,-190.03,-109.37,185.81
31,45625.68,19.24,213.13,-2.4,-108.74,-190.02,-109.37,185.81
32,45630.05,18.3,213.13,-2.4,-108.74,-190.02,-109.37,185.81
33,45634.39,17.39,213.13,-2.4,-108.74,-190.02,-109.37,185.81
34,45638.71,16.53,213.13,-2.4,-108.74,-190.02,-109.37,185.81
35,45642.99,15.72,213.13,-2.4,-108.74,-190.02,-109.37,185.81
36,45647.23,14.94,213.13,-2.4,-108.74,-190.02,-109.37,185.81
37,45651.44,14.2,213.13,-2.4,-108.74,-190.02,-109.37,185.81
38,45655.6,13.5,213.13,-2.4,-108.74,-190.02,-109.37,185.81
39,45659.73,12.83,213.13,-2.4,-108.74,-190.02,-109.37,185.81
40,45663.8,12.19,213.13,-2.4,-108.74,-190.02,-109.37,185.81
41,45667.83,11.58,213.13,-2.4,-108.74,-190.02,-109.37,185.81
42,45671.82,10.99,213.13,-2.4,-108.74,-190.02,-109.37,185.81
43,45675.75,10.44,213.13,-2.4,-108.74,-190.02,-109.37,185.81
44,45679.63,9.92,213.13,-2.4,-108.74,-190.02,-109.37,185.81
45,45683.45,9.41,213.13,-2.4,-108.74,-190.02,-109.37,185.81
46,45687.22,8.94,213.13,-2.4,-108.74,-190.02,-109.37,185.81
47,45690.93,8.48,213.13,-2.4,-108.74,-190.02,-109.37,185.81
48,45694.58,8.05,213.13,-2.4,-108.74,-190.02,-109.37,185.81
49,45698.17,7.64,213.13,-2.41,-108.74,-190.02,-109.37,185.81
50,45701.69,7.25,213.13,-2.41,-108.75,-190.02,-109.37,185.81
51,45705.15,6.87,213.13,-2.41,-108.75,-190.02,-109.37,185.81
52,45708.55,6.52,213.13,-2.41,-108.75,-190.02,-109.37,185.81
53,45711.88,6.18,213.13,-2.41,-108.75,-190.02,-109.37,185.81
54,45715.14,5.86,213.13,-2.41,-108.75,-190.02,-109.37,185.81
55,45718.33,5.53,213.13,-2.41,-108.75,-190.02,-109.37,185.81
56,45721.45,5.26,213.13,-2.41,-108.75,-190.02,-109.37,185.81
57,45724.5,5.19,213.13,-2.41,-108.75,-190.02,-109.37,185.81
58,45727.48,4.72,213.13,-2.41,-108.75,-190.02,-109.37,185.81
59,45730.39,4.47,213.13,-2.41,-108.75,-190.02,-109.37,185.81
60,45733.22,4.24,213.13,-2.41,-108.75,-190.02,-109.37,185.81
61,45735.98,4.01,213.13,-2.41,-108.75,-190.02,-109.37,185.81
62,45738.66,3.81,213.13,-2.41,-108.75,-190.02,-109.37,185.81
63,45741.27,3.6,213.13,-2.41,-108.75,-190.02,-109.37,185.81
64,45743.8,3.4,213.13,-2.41,-108.75,-190.02,-109.37,185.81
65,45746.25,3.22,213.13,-2.41,-108.75,-190.02,-109.37,185.81
66,45748.63,3.05,213.13,-2.41,-108.75,-190.02,-109.37,185.81
67,45750.92,2.88,213.13,-2.41,-108.75,-190.02,-109.37,185.81
68,45753.14,2.72,213.13,-2.41,-108.75,-190.02,-109.37,185.81
69,45755.29,2.58,213.13,-2.41,-108.75,-190.02,-109.37,185.81
70,45757.35,2.44,213.13,-2.41,-108.75,-190.02,-109.37,185.81
71,45759.33,2.3,213.13,-2.41,-108.75,-190.02,-109.37,185.81
72,45761.24,2.18,213.13,-2.41,-108.75,-190.02,-109.37,185.81
73,45763.07,2.06,213.13,-2.41,-108.75,-190.02,-109.37,185.81
74,45764.82,1.94,213.13,-2.41,-108.75,-190.02,-109.37,185.81
75,45766.49,1.84,213.13,-2.41,-108.75,-190.02,-109.37,185.81
76,45768.08,1.74,213.13,-2.41,-108.75,-190.02,-109.37,185.81
77,45769.59,1.64,213.13,-2.41,-108.75,-190.02,-109.37,185.81
78,45771.03,1.55,213.13,-2.41,-108.75,-190.02,-109.37,185.81
79,45772.39,1.46,213.13,-2.41,-108.75,-190.02,-109.37,185.81
80,45773.67,1.38,213.13,-2.41,-108.75,-190.02,-109.37,185.81
81,45774.87,1.31,213.13,-2.41,-108.75,-190.02,-109.36,185.81
82,45776.0,1.24,213.13,-2.41,-108.75,-190.02,-109.36,185.81
83,45777.05,1.17,213.13,-2.41,-108.75,-190.02,-109.36,185.81
84,45778.03,1.11,213.12,-2.41,-108.75,-190.02,-109.36,185.81
85,45778.93,1.05,213.12,-2.41,-108.75,-190.02,-109.36,185.81
86,45779.76,0.99,213.12,-2.41,-108.75,-190.02,-109.36,185.81
87,45780.52,0.94,213.12,-2.41,-108.75,-190.02,-109.36,185.81
88,45781.2,0.89,213.12,-2.41,-108.75,-190.02,-109.36,185.81
89,45781.81,0.84,213.12,-2.41,-108.75,-190.02,-109.36,185.81
90,45782.35,0.8,213.12,-2.41,-108.75,-190.02,-109.36,185.81
91,45782.81,0.76,213.12,-2.41,-108.75,-190.02,-109.36,185.81
92,45783.21,0.72,213.12,-2.41,-108.75,-190.02,-109.36,185.81
93,45783.54,0.67,213.12,-2.41,-108.75,-190.02,-109.36,185.81
94,45783.8,0.65,213.12,-2.41,-108.75,-190.02,-109.36,185.81
95,45784.0,0.62,213.12,-2.41,-108.75,-190.02,-109.36,185.81
96,45784.13,0.59,213.12,-2.41,-108.75,-190.02,-109.36,185.81
97,45784.19,0.56,213.12,-2.41,-108.75,-190.02,-109.36,185.81
98,45784.19,0.54,213.12,-2.41,-108.75,-190.02,-109.36,185.81
99,45784.13,0.51,213.12,-2.41,-108.75,-190.02,-109.36,185.81
100,45784.0,0.49,213.12,-2.41,-108.75,-190.02,-109.36,185.81
101,45783.82,0.47,213.12,-2.41,-108.75,-190.02,-109.36,185.81
102,45783.58,0.45,213.12,-2.41,-108.75,-190.02,-109.36,185.81
103,45783.27,0.43,213.12,-2.41,-108.75,-190.02,-109.36,185.81
104,45782.91,0.42,213.12,-2.41,-108.75,-190.02,-109.36,185.81
105,45782.5,0.4,213.12,-2.41,-108.75,-190.02,-109.36,185.81
106,45782.03,0.39,213.12,-2.41,-108.75,-190.02,-109.36,185.81
