,t,P,Q,VaR,VaI,VbR,VbI,VcR,VcI,der_id
0,0.0083333333333333,45776.53,-68.91,209.56,-7.45,-111.89,-185.74,-103.51,186.24,98_50_1
1,0.0166666666666666,45775.29,-65.77,209.56,-7.45,-111.89,-185.74,-103.51,186.24,98_50_1
2,0.025,45773.88,-62.72,209.56,-7.45,-111.89,-185.74,-103.51,186.24,98_50_1
3,0.0333333333333333,45772.43,-59.82,209.56,-7.45,-111.89,-185.74,-103.51,186.24,98_50_1
4,0.0416666666666666,45770.94,-57.05,209.56,-7.45,-111.89,-185.74,-103.51,186.24,98_50_1
5,0.0499999999999999,45769.43,-54.4,209.56,-7.46,-111.89,-185.74,-103.51,186.24,98_50_1
6,0.0583333333333333,45767.88,-51.88,209.56,-7.46,-111.89,-185.74,-103.51,186.24,98_50_1
7,0.0666666666666666,45766.29,-49.47,209.56,-7.46,-111.89,-185.74,-103.51,186.24,98_50_1
8,0.075,45764.68,-47.17,209.56,-7.46,-111.89,-185.74,-103.51,186.24,98_50_1
9,0.0833333333333333,45763.05,-44.98,209.56,-7.46,-111.89,-185.74,-103.51,186.24,98_50_1
10,0.0916666666666666,45761.39,-42.88,209.56,-7.46,-111.89,-185.74,-103.51,186.24,98_50_1
11,0.0999999999999999,45759.7,-40.88,209.56,-7.46,-111.89,-185.74,-103.51,186.24,98_50_1
12,0.1083333333333333,45757.99,-38.98,209.56,-7.46,-111.89,-185.74,-103.51,186.24,98_50_1
13,0.1166666666666666,45756.26,-37.15,209.56,-7.46,-111.89,-185.74,-103.51,186.24,98_50_1
14,0.1249999999999999,45754.52,-35.1,209.56,-7.46,-111.89,-185.74,-103.51,186.24,98_50_1
15,0.1333333333333333,45752.76,-33.77,209.56,-7.46,-111.89,-185.74,-103.51,186.24,98_50_1
16,0.1416666666666666,45750.98,-32.19,209.56,-7.46,-111.89,-185.74,-103.51,186.24,98_50_1
17,0.15,45749.19,-30.68,209.56,-7.46,-111.89,-185.74,-103.51,186.24,98_50_1
18,0.1583333333333333,45747.38,-29.24,209.56,-7.46,-111.89,-185.74,-103.51,186.24,98_50_1
19,0.1666666666666666,45745.57,-27.87,209.56,-7.46,-111.89,-185.74,-103.51,186.24,98_50_1
